"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 31 11:52:52 BST 2022","Thu Mar 31 11:53:00 BST 2022","7618","","Validate Filter Product Counts","","Validate Filter Product Counts","Prepush : Product count in search title","Prepush : Product count in search title",""
"passed","Tue Apr 26 14:36:11 BST 2022","Tue Apr 26 14:36:22 BST 2022","10543","","Canned Search","","Canned Search","Expanded category facet contains 20+ categories","Expanded category facet contains 20+ categories",""
"passed","Mon Apr 25 15:09:21 BST 2022","Mon Apr 25 15:09:31 BST 2022","9707","","All Categories Link","","All Categories Link","all categories link displayed after searching and selecting a category","all categories link displayed after searching and selecting a category",""
"passed","Wed Apr 20 09:22:49 BST 2022","Wed Apr 20 09:23:12 BST 2022","23321","","Google AdSense","","Google AdSense","AdSense requests are called with correct channel ids on desktop/tablet","AdSense requests are called with correct channel ids on desktop/tablet",""
"passed","Mon Apr 25 14:12:37 BST 2022","Mon Apr 25 14:12:47 BST 2022","9458","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the continue shopping button","Add to trolley modal and close using the continue shopping button",""
"passed","Mon Jun 06 14:07:05 BST 2022","Mon Jun 06 14:07:47 BST 2022","41494","","Unsupported browser","","Unsupported browser","Customer continues to use unsupported browser","Customer continues to use unsupported browser",""
"passed","Fri Apr 08 11:02:24 BST 2022","Fri Apr 08 11:02:47 BST 2022","22616","","Google AdSense","","Google AdSense","AdSense requests are called with correct channel ids on desktop/tablet","AdSense requests are called with correct channel ids on desktop/tablet",""
"passed","Tue Apr 26 18:12:19 BST 2022","Tue Apr 26 18:12:30 BST 2022","10690","","Perceived Availability","","Perceived Availability","Localised and products available to collect from <date>","Localised and products available to collect from <date>",""
"passed","Mon May 23 21:04:13 BST 2022","Mon May 23 21:04:28 BST 2022","14717","","All Categories Link","","All Categories Link","selecting all categories link displays all categories for users search","selecting all categories link displays all categories for users search",""
"passed","Fri Apr 01 13:51:58 BST 2022","Fri Apr 01 13:52:27 BST 2022","28682","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the continue shopping button","Add to trolley modal and close using the continue shopping button",""
"passed","Fri Apr 08 11:01:16 BST 2022","Fri Apr 08 11:01:23 BST 2022","7004","","Bespoke white goods product card","","Bespoke white goods product card","Bespoke white goods product cards displayed on white goods browse lister","Bespoke white goods product cards displayed on white goods browse lister",""
"passed","Mon Apr 25 17:54:32 BST 2022","Mon Apr 25 17:54:50 BST 2022","17453","","Applied filters","","Applied filters","Selected PLP+ page filters should not see in the applied filter section","Selected PLP+ page filters should not see in the applied filter section",""
"passed","Fri Apr 08 11:00:55 BST 2022","Fri Apr 08 11:01:14 BST 2022","18623","","Google AdSense","","Google AdSense","AdSense requests when navigating from browse PLP to search and back again","AdSense requests when navigating from browse PLP to search and back again",""
"broken","Tue May 17 07:25:30 BST 2022","Tue May 17 07:25:33 BST 2022","3240","","Product Card Variations","","Product Card Variations","Correct product card links for size searched variants large suitcase","Correct product card links for size searched variants large suitcase",""
"passed","Fri Apr 08 11:00:55 BST 2022","Fri Apr 08 11:01:01 BST 2022","6537","","Category facet exact match","","Category facet exact match","prepush","prepush",""
"passed","Fri Apr 08 11:01:37 BST 2022","Fri Apr 08 11:01:42 BST 2022","4716","","Dyson stub server","","Dyson stub server","Access the dyson stub server","Access the dyson stub server",""
"broken","Mon May 23 21:04:22 BST 2022","Mon May 23 21:07:22 BST 2022","180148","","Dyson stub server","","Dyson stub server","Access the dyson stub server","Access the dyson stub server",""
"passed","Thu Mar 31 11:53:28 BST 2022","Thu Mar 31 11:53:35 BST 2022","6177","","Back to search results page from search directory page","","Back to search results page from search directory page","Navigating directly to the /sd route","Navigating directly to the /sd route",""
"passed","Wed Apr 20 09:22:23 BST 2022","Wed Apr 20 09:22:32 BST 2022","9613","","Category facet exact match","","Category facet exact match","prepush","prepush",""
"failed","Fri Apr 08 11:33:32 BST 2022","Fri Apr 08 11:33:45 BST 2022","13190","","Canned Search","","Canned Search","Serving 1 citrus ads canned search /list/test-test-test/ (desktop/tablet)","Serving 1 citrus ads canned search /list/test-test-test/ (desktop/tablet)",""
"passed","Mon May 23 21:02:05 BST 2022","Mon May 23 21:02:19 BST 2022","14520","","Pagination on search results page","","Pagination on search results page","Paginating backwards and forwards through the results with next and previous buttons","Paginating backwards and forwards through the results with next and previous buttons",""
"passed","Wed Apr 20 09:22:27 BST 2022","Wed Apr 20 09:22:39 BST 2022","11992","","Perceived Availability","","Perceived Availability","Localised and product is OOS for collection and delivery (prepush)","Localised and product is OOS for collection and delivery (prepush)",""
"passed","Mon Apr 25 19:01:04 BST 2022","Mon Apr 25 19:01:13 BST 2022","8914","","Applied filters","","Applied filters","Remove filters from within applied filter section","Remove filters from within applied filter section",""
"passed","Mon May 23 21:02:31 BST 2022","Mon May 23 21:02:37 BST 2022","6592","","Validate Filter Product Counts","","Validate Filter Product Counts","Prepush : Product count in search title","Prepush : Product count in search title",""
"passed","Fri Apr 08 11:34:35 BST 2022","Fri Apr 08 11:34:48 BST 2022","12998","","Canned Search","","Canned Search","Serving 1 citrus ads canned search /list/test-test-test/ (desktop/tablet)","Serving 1 citrus ads canned search /list/test-test-test/ (desktop/tablet)",""
